Date : 2024-02-12 10:14:30
Directory : /Users/cineazhan/codelab/67ForumSystemNew/forum-rs
Total : 88 files,  8818 codes, 260 comments, 1180 blanks, all 10258 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/main.rs                                  | Rust     |         88 |          2 |         14 |        104 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/middleware/mod.rs                        | Rust     |          1 |          0 |          1 |          2 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/middleware/rate_limit.rs                 | Rust     |         45 |          0 |          4 |         49 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/repository/course_repo.rs                | Rust     |         66 |          0 |         12 |         78 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/repository/homework_repo.rs              | Rust     |         70 |          0 |         12 |         82 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/repository/log_repo.rs                   | Rust     |         44 |          0 |          9 |         53 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/repository/mod.rs                        | Rust     |          5 |          0 |          1 |          6 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/repository/post_repo.rs                  | Rust     |        437 |         26 |         38 |        501 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/repository/user_repo.rs                  | Rust     |         52 |          0 |         10 |         62 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/response/api_response.rs                 | Rust     |         62 |          0 |          9 |         71 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/response/mod.rs                          | Rust     |          1 |          0 |          1 |          2 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/auth_routes.rs                    | Rust     |         17 |          0 |          2 |         19 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/board_routes.rs                   | Rust     |          6 |          0 |          4 |         10 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/course_routes.rs                  | Rust     |         10 |          0 |          4 |         14 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/homework_routes.rs                | Rust     |         17 |          0 |          4 |         21 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/metadata_routes.rs                | Rust     |          6 |          0 |          4 |         10 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/mod.rs                            | Rust     |          7 |          0 |          1 |          8 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/root.rs                           | Rust     |         75 |          0 |         10 |         85 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/routes/user_routes.rs                    | Rust     |         13 |          0 |          2 |         15 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/auth_service.rs                  | Rust     |         98 |          0 |         17 |        115 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/board_service.rs                 | Rust     |        113 |         10 |         19 |        142 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/course_service.rs                | Rust     |        280 |         15 |         40 |        335 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/homework_service.rs              | Rust     |        141 |          1 |         21 |        163 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/log_service.rs                   | Rust     |         55 |          0 |         13 |         68 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/metadata_service.rs              | Rust     |         45 |          0 |         10 |         55 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/mod.rs                           | Rust     |          9 |          0 |          1 |         10 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/post_service.rs                  | Rust     |        487 |         29 |         56 |        572 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/search_engine_service.rs         | Rust     |         22 |          2 |          7 |         31 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/service/user_service.rs                  | Rust     |         34 |          0 |          7 |         41 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/auth_state.rs                      | Rust     |         14 |          0 |          3 |         17 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/board_state.rs                     | Rust     |         13 |          0 |          4 |         17 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/course_state.rs                    | Rust     |         16 |          0 |          4 |         20 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/homework_state.rs                  | Rust     |         18 |          0 |          4 |         22 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/limit_state.rs                     | Rust     |         13 |          0 |          3 |         16 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/metadata_state.rs                  | Rust     |         13 |          0 |          4 |         17 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/mod.rs                             | Rust     |          7 |          0 |          1 |          8 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/state/user_state.rs                      | Rust     |         14 |          0 |          3 |         17 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/utils/mod.rs                             | Rust     |          1 |          0 |          1 |          2 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/src/utils/string_utils.rs                    | Rust     |         13 |          0 |          3 |         16 |
| /Users/cineazhan/codelab/67ForumSystemNew/forum-rs/templates/login.html                         | HTML     |         62 |          3 |          7 |         72 |
| Total                                                                                           |          |      8,818 |        260 |      1,180 |     10,258 |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
